iter	Passed	Remaining
0	140	140685
1	141	70671
2	142	47316
3	143	35629
4	143	28653
5	144	24011
6	145	20690
7	146	18208
8	147	16260
9	148	14708
10	149	13433
11	150	12379
12	151	11493
13	152	10728
14	153	10082
15	154	9496
16	155	8979
17	156	8519
18	157	8108
19	158	7746
20	159	7416
21	160	7114
22	160	6838
23	161	6587
24	162	6355
25	163	6134
26	164	5933
27	165	5751
28	166	5583
29	167	5428
30	168	5271
31	169	5122
32	170	4983
33	170	4854
34	171	4731
35	172	4631
36	174	4539
37	175	4439
38	176	4338
39	176	4244
40	177	4156
41	178	4073
42	179	3995
43	180	3919
44	181	3845
45	182	3778
46	183	3712
47	184	3649
48	184	3588
49	186	3548
50	187	3495
51	188	3444
52	190	3396
53	191	3346
54	191	3296
55	192	3247
56	193	3201
57	194	3156
58	195	3111
59	195	3067
60	196	3024
61	197	2986
62	198	2947
63	199	2911
64	200	2880
65	201	2850
66	202	2818
67	203	2786
68	204	2754
69	205	2725
70	206	2695
71	206	2665
72	207	2636
73	208	2609
74	209	2584
75	210	2559
76	211	2534
77	212	2508
78	213	2484
79	213	2460
80	214	2438
81	216	2419
82	216	2396
83	217	2376
84	219	2357
85	220	2339
86	221	2322
87	222	2306
88	223	2285
89	224	2264
90	224	2245
91	225	2227
92	226	2209
93	227	2190
94	228	2172
95	228	2156
96	229	2138
97	231	2134
98	233	2122
99	236	2124
100	237	2111
101	238	2097
102	239	2083
103	240	2071
104	241	2057
105	242	2041
106	242	2027
107	243	2012
108	244	1998
109	245	1987
110	246	1975
111	247	1961
112	248	1948
113	248	1934
114	249	1921
115	250	1909
116	251	1895
117	251	1883
118	252	1871
119	253	1859
120	254	1847
121	254	1834
122	256	1825
123	257	1816
124	257	1805
125	259	1796
126	260	1788
127	261	1778
128	262	1770
129	262	1759
130	263	1748
131	264	1738
132	265	1730
133	266	1722
134	267	1713
135	268	1704
136	268	1694
137	269	1685
138	270	1675
139	271	1667
140	272	1658
141	272	1649
142	273	1640
143	274	1633
144	275	1625
145	276	1616
146	277	1608
147	277	1600
148	278	1592
149	279	1583
150	280	1576
151	281	1569
152	282	1561
153	282	1553
154	283	1546
155	284	1540
156	285	1533
157	286	1527
158	287	1521
159	288	1515
160	289	1507
161	290	1502
162	291	1495
163	292	1489
164	293	1483
165	293	1477
166	295	1472
167	296	1466
168	297	1460
169	297	1454
170	298	1447
171	299	1441
172	300	1435
173	300	1428
174	301	1421
175	302	1415
176	302	1408
177	303	1402
178	305	1399
179	305	1393
180	306	1388
181	307	1381
182	308	1375
183	308	1369
184	309	1363
185	310	1357
186	311	1352
187	311	1346
188	312	1341
189	313	1335
190	313	1329
191	314	1323
192	315	1317
193	315	1312
194	316	1306
195	317	1301
196	318	1296
197	319	1292
198	319	1287
199	320	1282
200	321	1278
201	322	1274
202	323	1270
203	324	1265
204	325	1260
205	325	1256
206	326	1251
207	327	1246
208	328	1241
209	328	1236
210	329	1231
211	330	1226
212	330	1221
213	331	1217
214	332	1212
215	332	1208
216	333	1204
217	334	1200
218	335	1195
219	336	1191
220	336	1187
221	337	1183
222	338	1178
223	338	1174
224	339	1169
225	340	1165
226	340	1161
227	341	1157
228	342	1153
229	343	1149
230	343	1144
231	344	1140
232	345	1136
233	346	1132
234	346	1128
235	347	1124
236	348	1120
237	348	1117
238	349	1114
239	350	1110
240	351	1107
241	352	1104
242	353	1100
243	354	1097
244	355	1094
245	355	1090
246	356	1087
247	357	1083
248	358	1080
249	358	1076
250	359	1073
251	360	1069
252	361	1066
253	361	1062
254	362	1058
255	363	1055
256	363	1051
257	364	1048
258	365	1045
259	366	1042
260	367	1039
261	368	1036
262	368	1033
263	369	1030
264	370	1027
265	371	1023
266	371	1020
267	372	1017
268	373	1014
269	373	1010
270	374	1007
271	375	1004
272	375	1001
273	376	997
274	377	994
275	378	991
276	378	988
277	379	986
278	380	983
279	381	980
280	382	978
281	383	975
282	383	972
283	384	969
284	385	966
285	385	963
286	386	960
287	387	957
288	388	954
289	388	951
290	389	948
291	390	946
292	390	943
293	391	940
294	392	937
295	392	934
296	393	931
297	394	929
298	395	926
299	396	925
300	398	924
301	399	922
302	399	919
303	400	917
304	401	915
305	402	913
306	403	911
307	404	909
308	405	907
309	406	905
310	407	902
311	408	900
312	409	897
313	409	895
314	410	893
315	411	891
316	412	889
317	413	887
318	414	884
319	415	882
320	415	879
321	416	877
322	417	874
323	418	872
324	418	869
325	419	867
326	420	864
327	420	861
328	421	859
329	422	857
330	422	854
331	423	852
332	424	849
333	425	847
334	426	846
335	427	843
336	427	841
337	428	839
338	429	837
339	430	835
340	431	833
341	432	831
342	432	829
343	433	826
344	434	824
345	435	822
346	436	820
347	437	818
348	438	817
349	438	815
350	439	813
351	441	811
352	442	810
353	442	808
354	443	806
355	444	803
356	445	801
357	446	800
358	447	798
359	448	796
360	448	794
361	449	792
362	450	790
363	450	787
364	451	785
365	452	783
366	453	781
367	453	779
368	455	778
369	456	776
370	457	775
371	458	773
372	459	771
373	460	770
374	460	768
375	461	766
376	462	764
377	463	762
378	463	759
379	464	757
380	465	755
381	465	753
382	466	751
383	467	749
384	468	747
385	468	745
386	469	744
387	470	742
388	471	740
389	472	738
390	473	736
391	474	735
392	475	733
393	476	732
394	476	730
395	477	728
396	478	726
397	478	724
398	479	722
399	480	720
400	480	718
401	481	716
402	482	714
403	483	712
404	483	710
405	484	709
406	485	707
407	486	705
408	487	704
409	488	702
410	488	700
411	489	698
412	490	697
413	491	695
414	492	693
415	492	691
416	493	689
417	494	687
418	494	686
419	495	684
420	496	682
421	496	680
422	497	678
423	498	676
424	499	675
425	499	673
426	500	672
427	501	670
428	503	669
429	503	667
430	504	666
431	505	664
432	506	662
433	506	660
434	507	659
435	508	657
436	508	655
437	509	653
438	510	651
439	510	650
440	511	648
441	512	646
442	512	644
443	513	643
444	514	641
445	515	640
446	516	638
447	517	637
448	518	635
449	518	634
450	519	632
451	520	630
452	520	628
453	521	627
454	522	625
455	523	623
456	523	622
457	524	620
458	525	618
459	525	617
460	526	615
461	527	613
462	527	612
463	528	610
464	529	609
465	530	607
466	531	606
467	532	604
468	532	603
469	533	601
470	534	600
471	535	598
472	535	596
473	536	595
474	537	593
475	537	591
476	538	590
477	539	588
478	539	587
479	540	585
480	541	583
481	541	582
482	542	580
483	543	579
484	544	577
485	545	576
486	545	575
487	546	573
488	547	572
489	548	570
490	548	569
491	549	567
492	550	566
493	551	564
494	551	562
495	552	561
496	553	559
497	553	558
498	554	556
499	555	555
500	555	553
501	556	552
502	557	550
503	558	549
504	558	547
505	559	546
506	560	545
507	561	543
508	562	542
509	563	540
510	563	539
511	564	538
512	565	536
513	566	535
514	566	533
515	567	532
516	568	530
517	569	529
518	569	528
519	570	526
520	571	525
521	571	523
522	572	522
523	573	520
524	574	519
525	574	517
526	575	516
527	576	515
528	577	513
529	578	512
530	578	511
531	579	509
532	580	508
533	581	507
534	581	505
535	582	504
536	583	502
537	584	501
538	584	500
539	585	498
540	586	497
541	587	496
542	587	494
543	588	493
544	589	491
545	590	490
546	590	489
547	591	488
548	592	486
549	593	485
550	594	484
551	595	483
552	596	481
553	596	480
554	597	479
555	598	477
556	598	476
557	600	475
558	601	474
559	602	473
560	603	471
561	604	470
562	605	469
563	606	469
564	608	468
565	609	467
566	610	465
567	610	464
568	611	463
569	612	462
570	613	460
571	614	459
572	615	458
573	615	457
574	616	455
575	617	454
576	617	452
577	618	451
578	619	450
579	620	448
580	620	447
581	621	446
582	622	445
583	623	444
584	624	443
585	625	442
586	626	441
587	628	440
588	629	439
589	630	438
590	631	436
591	632	435
592	632	434
593	633	433
594	634	431
595	635	430
596	636	429
597	636	428
598	637	426
599	638	425
600	639	424
601	640	423
602	641	422
603	642	421
604	643	420
605	644	419
606	646	418
607	647	417
608	648	416
609	649	415
610	650	414
611	651	412
612	652	411
613	652	410
614	653	409
615	654	408
616	655	406
617	656	405
618	657	404
619	658	403
620	659	402
621	659	401
622	660	399
623	661	398
624	662	397
625	663	396
626	664	395
627	664	393
628	666	393
629	667	392
630	668	391
631	669	390
632	670	388
633	671	387
634	672	386
635	673	385
636	673	383
637	674	382
638	675	381
639	676	380
640	676	379
641	677	377
642	678	376
643	679	375
644	680	374
645	681	373
646	681	372
647	682	370
648	683	369
649	684	368
650	685	367
651	686	366
652	687	365
653	688	364
654	689	363
655	690	361
656	690	360
657	691	359
658	692	358
659	693	357
660	695	356
661	696	355
662	697	354
663	698	353
664	699	352
665	700	351
666	701	350
667	702	349
668	703	348
669	704	346
670	704	345
671	705	344
672	706	343
673	707	342
674	707	340
675	708	339
676	709	338
677	710	337
678	711	336
679	712	335
680	715	334
681	715	333
682	716	332
683	717	331
684	718	330
685	719	329
686	720	328
687	721	327
688	721	325
689	722	324
690	723	323
691	724	322
692	725	321
693	726	320
694	727	319
695	728	318
696	729	317
697	730	315
698	731	314
699	731	313
700	732	312
701	733	311
702	733	310
703	734	308
704	735	307
705	735	306
706	736	305
707	737	304
708	737	302
709	738	301
710	739	300
711	740	299
712	741	298
713	741	297
714	742	296
715	743	294
716	744	293
717	745	292
718	746	291
719	746	290
720	747	289
721	748	288
722	748	286
723	749	285
724	750	284
725	750	283
726	751	282
727	752	281
728	753	279
729	753	278
730	755	277
731	756	276
732	757	275
733	758	274
734	759	273
735	759	272
736	760	271
737	761	270
738	762	269
739	763	268
740	763	266
741	764	265
742	765	264
743	765	263
744	766	262
745	767	261
746	768	260
747	769	259
748	770	258
749	771	257
750	772	256
751	773	254
752	773	253
753	774	252
754	775	251
755	775	250
756	776	249
757	777	248
758	778	247
759	779	246
760	779	244
761	780	243
762	781	242
763	782	241
764	782	240
765	783	239
766	784	238
767	785	237
768	786	236
769	786	235
770	787	233
771	788	232
772	788	231
773	789	230
774	790	229
775	791	228
776	791	227
777	792	226
778	793	225
779	793	223
780	794	222
781	795	221
782	796	220
783	797	219
784	798	218
785	798	217
786	799	216
787	800	215
788	801	214
789	802	213
790	802	212
791	803	211
792	804	210
793	805	209
794	806	207
795	807	206
796	808	205
797	809	204
798	809	203
799	810	202
800	811	201
801	811	200
802	812	199
803	813	198
804	813	197
805	814	196
806	815	195
807	816	193
808	817	192
809	818	191
810	818	190
811	819	189
812	820	188
813	821	187
814	821	186
815	822	185
816	823	184
817	823	183
818	824	182
819	825	181
820	825	180
821	826	179
822	827	177
823	828	176
824	828	175
825	829	174
826	830	173
827	831	172
828	832	171
829	832	170
830	833	169
831	834	168
832	834	167
833	835	166
834	836	165
835	836	164
836	837	163
837	838	162
838	839	161
839	839	159
840	840	158
841	841	157
842	842	156
843	842	155
844	843	154
845	844	153
846	845	152
847	846	151
848	846	150
849	847	149
850	848	148
851	849	147
852	849	146
853	850	145
854	851	144
855	852	143
856	852	142
857	853	141
858	854	140
859	855	139
860	855	138
861	856	137
862	857	136
863	858	135
864	858	134
865	859	132
866	860	131
867	861	130
868	861	129
869	862	128
870	863	127
871	864	126
872	864	125
873	865	124
874	866	123
875	867	122
876	868	121
877	868	120
878	869	119
879	870	118
880	871	117
881	871	116
882	872	115
883	873	114
884	873	113
885	874	112
886	875	111
887	876	110
888	877	109
889	878	108
890	879	107
891	879	106
892	880	105
893	881	104
894	882	103
895	882	102
896	883	101
897	884	100
898	884	99
899	885	98
900	886	97
901	887	96
902	887	95
903	888	94
904	889	93
905	890	92
906	890	91
907	891	90
908	892	89
909	893	88
910	893	87
911	894	86
912	895	85
913	896	84
914	897	83
915	897	82
916	898	81
917	899	80
918	900	79
919	900	78
920	901	77
921	902	76
922	902	75
923	903	74
924	904	73
925	905	72
926	906	71
927	906	70
928	907	69
929	908	68
930	909	67
931	909	66
932	910	65
933	911	64
934	912	63
935	912	62
936	913	61
937	914	60
938	914	59
939	915	58
940	916	57
941	917	56
942	917	55
943	918	54
944	919	53
945	919	52
946	921	51
947	922	50
948	923	49
949	924	48
950	925	47
951	925	46
952	926	45
953	927	44
954	928	43
955	928	42
956	929	41
957	930	40
958	930	39
959	931	38
960	932	37
961	932	36
962	933	35
963	934	34
964	935	33
965	936	32
966	937	31
967	938	31
968	938	30
969	939	29
970	940	28
971	941	27
972	942	26
973	943	25
974	943	24
975	944	23
976	945	22
977	946	21
978	946	20
979	947	19
980	948	18
981	948	17
982	949	16
983	950	15
984	951	14
985	952	13
986	953	12
987	954	11
988	955	10
989	955	9
990	956	8
991	957	7
992	957	6
993	958	5
994	959	4
995	960	3
996	961	2
997	961	1
998	962	0
999	963	0
